post_name,post_slug,post_title,post_meta,h1_count,h2_count,h3_count,internal_links_outgoing,internal_links_incoming,external_links,title_length,meta_length
best-friend-quotes-for-captions,best-friend-quotes-for-captions,150 Best Friend Quotes for Social Captions: The Ultimate Collection,"Discover the perfect best friend quotes for your social media captions. From funny and sweet to meaningful and aesthetic, find the right words for your bestie.",0,8,0,4,3,3,67,159
bold-quotes-about-bravery,bold-quotes-about-bravery,150 Bold Quotes About Bravery to Face Your Fears,Discover 150 bold quotes about bravery that will inspire you to face your fears and take risks. These powerful words of courage will help you stay strong and move forward.,0,7,0,5,2,5,48,171
breakup-quotes-to-help-you-heal,breakup-quotes-to-help-you-heal,150 Breakup Quotes to Help You Heal and Move On,"Discover 150 powerful breakup quotes to help you navigate heartbreak, find the strength to let go, and embrace the journey of healing and new beginnings.",0,8,0,4,1,3,47,153
clever-quotes-for-social-captions,clever-quotes-for-social-captions,150 Clever Quotes for Social Captions to Boost Engagement,"Elevate your social media with 150 clever captions. From witty one-liners to deep thoughts, find the perfect words to stop the scroll and boost engagement.",0,7,0,5,1,3,57,155
confidence-quotes-to-believe-in-yourself,confidence-quotes-to-believe-in-yourself,150 Confidence Quotes to Believe in Yourself,Discover 150 powerful confidence quotes to boost your self-belief and overcome doubt. Perfect for finding the inner strength to achieve your dreams.,0,7,0,4,8,3,44,148
courage-quotes-to-face-your-fears,courage-quotes-to-face-your-fears,150 Courage Quotes to Face Your Fears,"Discover 150 powerful courage quotes to help you face your fears and find inner strength. From Maya Angelou to Nelson Mandela, these words will inspire bravery.",0,7,0,4,7,3,37,160
discipline-quotes-to-stay-consistent,discipline-quotes-to-stay-consistent,150 Discipline Quotes to Stay Consistent and Win,"Discover 150 powerful discipline quotes that will help you stay consistent, build better habits, and achieve your goals through the power of self-control and determination.",0,8,0,4,29,5,48,172
family-quotes-about-love-and-togetherness,family-quotes-about-love-and-togetherness,150 Family Quotes About Love and Togetherness,"Discover 150 heartwarming family quotes about love and togetherness. From short sayings to deep wisdom, find the perfect words to celebrate your family bonds.",0,7,0,4,10,3,45,158
focus-quotes-to-eliminate-distractions,focus-quotes-to-eliminate-distractions,150 Focus Quotes to Eliminate Distractions,Discover 150 powerful focus quotes to help you eliminate distractions and achieve your goals. Perfect for when you need to concentrate and get things done.,0,9,0,3,8,3,42,155
friendship-quotes-about-support,friendship-quotes-about-support,150 Friendship Quotes About Support and Care to Lift a Friend's Spirit,"Discover 150 powerful friendship quotes about support and care. Perfect for reminding your best friends that you're always there for them, no matter what.",0,7,0,3,3,3,70,154
